Date,Time,PM2.5 particulate matter (Hourly measured),Status
1/1/2024,1:00:00,1.887,V ugm-3 (Ref.eq)
1/1/2024,2:00:00,2.783,V ugm-3 (Ref.eq)
1/1/2024,3:00:00,2.476,V ugm-3 (Ref.eq)
1/1/2024,4:00:00,2.901,V ugm-3 (Ref.eq)
1/1/2024,5:00:00,3.514,V ugm-3 (Ref.eq)
1/1/2024,6:00:00,3.42,V ugm-3 (Ref.eq)
1/1/2024,7:00:00,2.476,V ugm-3 (Ref.eq)
1/1/2024,8:00:00,3.137,V ugm-3 (Ref.eq)
1/1/2024,9:00:00,2.948,V ugm-3 (Ref.eq)
1/1/2024,10:00:00,3.821,V ugm-3 (Ref.eq)
1/1/2024,11:00:00,4.127,V ugm-3 (Ref.eq)
1/1/2024,12:00:00,3.986,V ugm-3 (Ref.eq)
1/1/2024,13:00:00,4.08,V ugm-3 (Ref.eq)
1/1/2024,14:00:00,4.552,V ugm-3 (Ref.eq)
1/1/2024,15:00:00,5.472,V ugm-3 (Ref.eq)
1/1/2024,16:00:00,6.934,V ugm-3 (Ref.eq)
1/1/2024,17:00:00,9.693,V ugm-3 (Ref.eq)
1/1/2024,18:00:00,10.047,V ugm-3 (Ref.eq)
1/1/2024,19:00:00,6.981,V ugm-3 (Ref.eq)
1/1/2024,20:00:00,4.057,V ugm-3 (Ref.eq)
1/1/2024,21:00:00,1.958,V ugm-3 (Ref.eq)
1/1/2024,22:00:00,1.25,V ugm-3 (Ref.eq)
1/1/2024,23:00:00,1.533,V ugm-3 (Ref.eq)
1/1/2024,24:00:00,2.406,V ugm-3 (Ref.eq)
2/1/2024,1:00:00,1.604,V ugm-3 (Ref.eq)
2/1/2024,2:00:00,2.359,V ugm-3 (Ref.eq)
2/1/2024,3:00:00,3.373,V ugm-3 (Ref.eq)
2/1/2024,4:00:00,4.717,V ugm-3 (Ref.eq)
2/1/2024,5:00:00,4.505,V ugm-3 (Ref.eq)
2/1/2024,6:00:00,3.821,V ugm-3 (Ref.eq)
2/1/2024,7:00:00,4.222,V ugm-3 (Ref.eq)
