time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2024-01-01T00:00,7.3,77,0,978.3,15.9,266
2024-01-01T01:00,7.1,79,0.1,979.1,16.3,264
2024-01-01T02:00,7.1,80,0,980.3,16.6,266
2024-01-01T03:00,7.1,77,0,981.6,19.1,267
2024-01-01T04:00,7,76,0,982.2,17.7,266
2024-01-01T05:00,6.9,74,0,983.5,18.4,271
2024-01-01T06:00,7,76,0,984.7,17.7,268
2024-01-01T07:00,6.7,77,0,985.7,16.6,271
2024-01-01T08:00,6.4,76,0,987,14.8,266
2024-01-01T09:00,6.3,78,0,987.7,15,253
2024-01-01T10:00,6.2,76,0,988.6,14.5,247
2024-01-01T11:00,6.4,73,0,989.1,14.2,243
2024-01-01T12:00,6.8,70,0,989.8,13.2,241
2024-01-01T13:00,7,67,0,989.5,11.3,233
2024-01-01T14:00,6.9,69,0,988.8,10.6,208
2024-01-01T15:00,6.5,71,0,988.4,9.8,197
2024-01-01T16:00,6.2,78,0,988.5,8.4,173
2024-01-01T17:00,5.7,83,0,987.6,7.9,156
2024-01-01T18:00,5.5,87,0.1,985.2,9.9,147
2024-01-01T19:00,5.7,90,0.8,983.6,10.7,135
2024-01-01T20:00,5.6,91,1.6,980.9,12.3,122
2024-01-01T21:00,5.8,91,2.9,979.2,13.1,127
2024-01-01T22:00,6.2,92,3.6,976.8,13.5,136
2024-01-01T23:00,6.6,93,3.4,975.3,7.2,153
2024-01-02T00:00,7.3,95,1.9,973.9,2.3,198
2024-01-02T01:00,7.8,95,0.1,974,4.2,160
2024-01-02T02:00,9.4,83,0,974.4,13.3,251
2024-01-02T03:00,9.6,78,0,974,20.4,253
2024-01-02T04:00,9.3,80,0,974.5,14.2,243
2024-01-02T05:00,9,83,0,974.6,8.9,220
2024-01-02T06:00,9,83,0,974.3,9.4,212
2024-01-02T07:00,8.6,87,0,974.2,8,172
2024-01-02T08:00,8.4,89,0,974.1,10.5,186
2024-01-02T09:00,8.4,90,0,973,11.3,189
2024-01-02T10:00,8.6,91,0,972.4,8.4,187
2024-01-02T11:00,9,89,0,971.3,6.1,177
2024-01-02T12:00,8.8,94,0.3,970.7,5.1,135
2024-01-02T13:00,8.5,97,1.3,968.1,5.4,42
2024-01-02T14:00,8.4,95,0.9,966.8,7.4,29
2024-01-02T15:00,8.1,92,0.8,966.4,10.2,8
2024-01-02T16:00,7.9,92,1.1,966.9,10,345
2024-01-02T17:00,7.9,90,1.6,968.1,9.1,304
2024-01-02T18:00,7.8,88,1.4,969.2,8.6,292
2024-01-02T19:00,7.6,82,0.9,970.4,6.2,249
2024-01-02T20:00,7.9,85,0.6,971.3,8.2,255
2024-01-02T21:00,7.9,84,0.2,972.2,8.9,223
2024-01-02T22:00,7.9,81,0,972.5,8.9,243
2024-01-02T23:00,7.9,82,0,972.6,9.2,231
2024-01-03T00:00,8.3,81,0,973.3,10.8,240
2024-01-03T01:00,8.2,81,0,973.9,11,238
2024-01-03T02:00,7.7,82,0,974.3,11.4,235
2024-01-03T03:00,7,87,0,974.5,8.3,214
2024-01-03T04:00,6.4,90,0,974,7.3,213
2024-01-03T05:00,6.4,90,0,974.4,5.5,212
2024-01-03T06:00,6.1,91,0,974.8,3.9,202
2024-01-03T07:00,5.9,92,0,974.7,4,190
2024-01-03T08:00,6.5,91,0,975,6.8,205
2024-01-03T09:00,6.6,92,0,976.1,4.9,163
2024-01-03T10:00,6.7,94,0.8,975.6,4,175
2024-01-03T11:00,7.2,92,0.4,975.9,2.9,187
2024-01-03T12:00,7.2,94,0.7,975.7,0.5,225
2024-01-03T13:00,7.3,95,0.9,976.2,2.1,239
2024-01-03T14:00,7.7,92,1.4,976.9,1.4,270
2024-01-03T15:00,8.3,83,0.6,977,5.8,270
2024-01-03T16:00,7.9,85,0,978.2,5.1,262
2024-01-03T17:00,7.7,86,0,979.3,5.8,270
